title,price,category,shop,height,width,depth
Шкаф медицинский ПРАКТИК HILFE MD 1 ШМ-SS (11-50),"
Под заказ
",Медицинская мебель,4,1920,500.0,500.0
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R,"
Под заказ
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R1,"
Под заказ
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК MED 2 1780/SG,"
Под заказ
",Медицинская мебель,4,1850,800.0,400.0
Шкаф медицинский ПРАКТИК HILFE MD 2 ШМ-SS (21-50),"
Под заказ
",Медицинская мебель,4,1900,600.0,500.0
Шкаф медицинский ШМ 1-2М А1,"
Под заказ
",Медицинская мебель,4,1760,500.0,300.0
Шкаф медицинский ШМ 1-2 М,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2Т (0.8),"
Под заказ
",Медицинская мебель,4,1605,450.0,400.0
Шкаф медицинский ШМ 1-2А2,"
Под заказ
",Медицинская мебель,4,1860,600.0,400.0
Шкаф медицинский ШМ 1-2ВМ,"
Под заказ
",Медицинская мебель,4,1785,435.0,400.0
Шкаф медицинский ШМ 1-1,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2 МЯ,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2 Я,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ПРАКТИК MED 1 1650/SG,"
 16 509 руб.
",Медицинская мебель,4,1755,500.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1650/SS,"
 16 509 руб.
",Медицинская мебель,4,1755,500.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1657/SS,"
 16 958 руб.
",Медицинская мебель,4,1755,570.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1657/SG,"
 16 958 руб.
",Медицинская мебель,4,1755,570.0,320.0
Шкаф медицинский ПРАКТИК MED 2 1670/SG,"
 17 927 руб.
",Медицинская мебель,4,1755,700.0,320.0
Шкаф медицинский ПРАКТИК MED 2 1670/SS,"
 17 927 руб.
",Медицинская мебель,4,1755,700.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1760/SS,"
 20 589 руб.
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК MED 1 1760/SG,"
 20 589 руб.
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК MED 2 1780/SS,"
 22 486 руб.
",Медицинская мебель,4,1850,800.0,400.0
Шкаф медицинский ПРАКТИК HILFE MD 1 ШМ-SS (11-50),"
Под заказ
",Медицинская мебель,4,1920,500.0,500.0
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R,"
Под заказ
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R1,"
Под заказ
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК MED 2 1780/SG,"
Под заказ
",Медицинская мебель,4,1850,800.0,400.0
Шкаф медицинский ПРАКТИК HILFE MD 2 ШМ-SS (21-50),"
Под заказ
",Медицинская мебель,4,1900,600.0,500.0
Шкаф медицинский ШМ 1-2М А1,"
Под заказ
",Медицинская мебель,4,1760,500.0,300.0
Шкаф медицинский ШМ 1-2 М,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2Т (0.8),"
Под заказ
",Медицинская мебель,4,1605,450.0,400.0
Шкаф медицинский ШМ 1-2А2,"
Под заказ
",Медицинская мебель,4,1860,600.0,400.0
Шкаф медицинский ШМ 1-2ВМ,"
Под заказ
",Медицинская мебель,4,1785,435.0,400.0
Шкаф медицинский ШМ 1-1,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2 МЯ,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ШМ 1-2 Я,"
Под заказ
",Медицинская мебель,4,1605,435.0,400.0
Шкаф медицинский ПРАКТИК MED 1 1650/SG,"
 16 509 руб.
",Медицинская мебель,4,1755,500.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1650/SS,"
 16 509 руб.
",Медицинская мебель,4,1755,500.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1657/SS,"
 16 958 руб.
",Медицинская мебель,4,1755,570.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1657/SG,"
 16 958 руб.
",Медицинская мебель,4,1755,570.0,320.0
Шкаф медицинский ПРАКТИК MED 2 1670/SG,"
 17 927 руб.
",Медицинская мебель,4,1755,700.0,320.0
Шкаф медицинский ПРАКТИК MED 2 1670/SS,"
 17 927 руб.
",Медицинская мебель,4,1755,700.0,320.0
Шкаф медицинский ПРАКТИК MED 1 1760/SS,"
 20 589 руб.
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК MED 1 1760/SG,"
 20 589 руб.
",Медицинская мебель,4,1850,600.0,400.0
Шкаф медицинский ПРАКТИК MED 2 1780/SS,"
 22 486 руб.
",Медицинская мебель,4,1850,800.0,400.0
Столик СП-02М,"
Под заказ
",Медицинская мебель,4,875,960.0,450.0
Столик СП-02ДН,"
Под заказ
",Медицинская мебель,4,875,760.0,410.0
Столик СП-02Н,"
Под заказ
",Медицинская мебель,4,875,760.0,410.0
Столик СП-02У,"
Под заказ
",Медицинская мебель,4,875,760.0,410.0
Столик для перевозки биксов СП-01БН,"
Под заказ
",Медицинская мебель,4,840,810.0,410.0
Столик для перевозки биксов СП-01Б,"
Под заказ
",Медицинская мебель,4,840,810.0,410.0
Столик процедурный СП-02-7НН,"
Под заказ
",Медицинская мебель,4,875,740.0,410.0
Столик инструментальный СП-02-2 НН,"
Под заказ
",Медицинская мебель,4,860,790.0,450.0
Столик процедурный СП-02-6,"
Под заказ
",Медицинская мебель,4,930,800.0,570.0
Столик процедурный СП-02-4,"
Под заказ
",Медицинская мебель,4,950,875.0,455.0
Столик процедурный СП-02-9 Р,"
Под заказ
",Медицинская мебель,4,800,930.0,570.0
Столик процедурный ГУСЬ СП-01ГН4.В,"
Под заказ
",Медицинская мебель,4,900-1320,600.0,400.0
Столик процедурный СП-02-7Н,"
Под заказ
",Медицинская мебель,4,875,740.0,410.0
Столик процедурный СП-02-5Н,"
Под заказ
",Медицинская мебель,4,800,700.0,430.0
Столик для раскладки лекарств СП-01-2М,"
Под заказ
",Медицинская мебель,4,810,805.0,400.0
Столик процедурный СП-02-3,"
Под заказ
",Медицинская мебель,4,875,500.0,450.0
Столик процедурный СП-01Н,"
Под заказ
",Медицинская мебель,4,800,685.0,385.0
Столик процедурный СП-02-7,"
Под заказ
",Медицинская мебель,4,875,740.0,410.0
Столик процедурный СП-02-5,"
Под заказ
",Медицинская мебель,4,875,700.0,430.0
Столик процедурный СП-01-3Н,"
Под заказ
",Медицинская мебель,4,800,665.0,385.0
Столик процедурный СП-01-2К,"
Под заказ
",Медицинская мебель,4,810,805.0,400.0
Столик процедурный ГУСЬ СП-01ГН,"
Под заказ
",Медицинская мебель,4,770-1100,655.0,430.0
Столик процедурный СП-01-4,"
Под заказ
",Медицинская мебель,4,800,685.0,385.0
Столик процедурный СП-01,"
Под заказ
",Медицинская мебель,4,800,700.0,420.0
Столик процедурный СП-01-3C,"
Под заказ
",Медицинская мебель,4,800,700.0,400.0
Столик процедурный СП-01-3,"
Под заказ
",Медицинская мебель,4,800,700.0,400.0
Столик процедурный СП-01-2НC,"
Под заказ
",Медицинская мебель,4,800,665.0,385.0
Столик процедурный ГУСЬ СП-01Г,"
Под заказ
",Медицинская мебель,4,770-1100,655.0,430.0
Столик процедурный СП-01-2C,"
Под заказ
",Медицинская мебель,4,800,665.0,385.0
Стол манипуляционный МД SM N,"
 6 380 руб.
",Медицинская мебель,4,710/720,680.0,440.0
Стол процедурный МД SP 2G,"
 8 563 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол медицинский процедурный МД SP N,"
 10 134 руб.
",Медицинская мебель,4,790/1150,700.0,410.0
Стол процедурный МД SP 3G,"
 10 450 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол процедурный МД SP 2N,"
 11 745 руб.
",Медицинская мебель,4,940,600.0,470.0
Столик стоматолога СС-1-6,"
Под заказ
",Медицинская мебель,4,880,630.0,390.0
Столик стоматолога СС-1-5,"
Под заказ
",Медицинская мебель,4,880,510.0,510.0
Столик стоматолога СС-1,"
Под заказ
",Медицинская мебель,4,990,640.0,485.0
Стол процедурный МД SP 3N,"
 15 856 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол манипуляционный МД SM 1,"
 17 304 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол манипуляционный МД SM 2,"
 26 219 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол манипуляционный МД SM 6,"
 36 929 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол манипуляционный СМ-01,"
Под заказ
",Медицинская мебель,4,970,870.0,620.0
Стол палатный MW TW-16 БЕЛОЕ ДЕРЕВО,"
Под заказ
",Медицинская мебель,4,741,850.0,750.0
Стол палатный MW TW-25 БЕЛОЕ ДЕРЕВО,"
Под заказ
",Медицинская мебель,4,750,850.0,750.0
Стол палатный MW TW-16 ГОЛУБОЙ,"
Под заказ
",Медицинская мебель,4,741,850.0,750.0
Стол палатный MW TW-16 БЕЛЫЙ,"
Под заказ
",Медицинская мебель,4,741,850.0,750.0
Стол производственный с решетчатой полкой и бортом,"
 7 956 руб.
9 360 руб.",Медицинская мебель,4,860,1500.0,600.0
Стол медицинский СМ 1-1С,"
Под заказ
",Медицинская мебель,4,740,1100.0,600.0
Стол однотумбовый СК8 - 3Б,"
Под заказ
",Медицинская мебель,4,850,1200.0,600.0
Стол однотумбовый СМ-1,"
Под заказ
",Медицинская мебель,4,750,1100.0,600.0
Кровать медицинская КМ-09,"
Под заказ
",Медицинская мебель,4,840,900.0,
"Матрац медицинский с чехлом, пенополиуретан","
Под заказ
",Медицинская мебель,4,100,900.0,
Кровать функциональная КМ-04,"
Под заказ
",Медицинская мебель,4,905,890.0,
Кровать медицинская КМ-01,"
Под заказ
",Медицинская мебель,4,900,840.0,
Кровать медицинская КОМ 01-6,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 01-3,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 02,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 02-1,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 02-2,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КМ-10,"
 23 435 руб.
",Медицинская мебель,4,840,900.0,
Кровать медицинская КМ-06,"
 34 757 руб.
",Медицинская мебель,4,935,2220.0,956.0
Кровать медицинская КМ-03,"
 41 693 руб.
",Медицинская мебель,4,900,840.0,
Кровать медицинская КМ-02,"
 64 847 руб.
",Медицинская мебель,4,935,2220.0,956.0
Кровать медицинская КМ-15,"
Под заказ
",Медицинская мебель,4,956/1017,2170.0,2170.0
Кровать функциональная КМ-17 (электропривод),"
Под заказ
",Медицинская мебель,4,956/1017,2170.0,2170.0
Кровать функциональная КМ-07,"
Под заказ
",Медицинская мебель,4,956,2220.0,935.0
Кровать функциональная КМ-05,"
Под заказ
",Медицинская мебель,4,956,2220.0,935.0
Кровать медицинская КМ-09,"
Под заказ
",Медицинская мебель,4,840,900.0,
"Матрац медицинский с чехлом, пенополиуретан","
Под заказ
",Медицинская мебель,4,100,900.0,
Кровать функциональная КМ-04,"
Под заказ
",Медицинская мебель,4,905,890.0,
Кровать медицинская КМ-01,"
Под заказ
",Медицинская мебель,4,900,840.0,
Кровать медицинская КОМ 01-6,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 01-3,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 02,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 02-1,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КОМ 02-2,"
Под заказ
",Медицинская мебель,4,800,800.0,
Кровать медицинская КМ-10,"
 23 435 руб.
",Медицинская мебель,4,840,900.0,
Кровать медицинская КМ-06,"
 34 757 руб.
",Медицинская мебель,4,935,2220.0,956.0
Кровать медицинская КМ-03,"
 41 693 руб.
",Медицинская мебель,4,900,840.0,
Кровать медицинская КМ-02,"
 64 847 руб.
",Медицинская мебель,4,935,2220.0,956.0
Кровать медицинская КМ-15,"
Под заказ
",Медицинская мебель,4,956/1017,2170.0,2170.0
Кровать функциональная КМ-17 (электропривод),"
Под заказ
",Медицинская мебель,4,956/1017,2170.0,2170.0
Кровать функциональная КМ-07,"
Под заказ
",Медицинская мебель,4,956,2220.0,935.0
Кровать функциональная КМ-05,"
Под заказ
",Медицинская мебель,4,956,2220.0,935.0
"АКЦИЯ! Стеллаж  для заготовок 1500*700*300 мм, 4 полки","
 2 900 руб.
",Металлическая мебель (Стеллажи),4,1500.0,700.0,300.0
"Стеллаж металлический 1000*700*300 мм, 3 полки","
 3 592 руб.
",Металлическая мебель (Стеллажи),4,1000.0,700.0,300.0
"Стеллаж металлический 2000*1000*400 мм, 5 полок","
 7 159 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1000.0,400.0
"Стеллаж металлический 2200*1000*500 мм, 5 полок","
 8 257 руб.
",Металлическая мебель (Стеллажи),4,2200.0,1000.0,500.0
"Стеллаж металлический 1800*1200*500 мм, 4 полки","
 8 612 руб.
",Металлическая мебель (Стеллажи),4,1800.0,1200.0,500.0
"Стеллаж металлический 1800*700*300 мм, 3 полки","
 4 056 руб.
",Металлическая мебель (Стеллажи),4,1850.0,700.0,300.0
"Стеллаж металлический 2000*700*400 мм, 3 полки","
 4 561 руб.
",Металлическая мебель (Стеллажи),4,2000.0,700.0,400.0
"Стеллаж металлический 2200*1000*400 мм, 4 полки","
 6 460 руб.
",Металлическая мебель (Стеллажи),4,2200.0,1000.0,400.0
"Стеллаж металлический 2000*1200*300 мм, 5 полок","
 8 039 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1200.0,300.0
"Стеллаж металлический 2500*1200*400 мм, 6 полок","
 10 826 руб.
",Металлическая мебель (Стеллажи),4,2550.0,1200.0,400.0
"Стеллаж металлический 3000*1500*400 мм, 6 полок","
 13 776 руб.
",Металлическая мебель (Стеллажи),4,3000.0,1500.0,400.0
Тележка инструментальная GARAGE BIG,"
Под заказ
",Металлическая мебель (Стеллажи),4,1930.0,722.0,515.0
"Дополнительная секция грузового стеллажа 2500*1500*600, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),4,2500.0,1500.0,600.0
"Дополнительная секция грузового стеллажа 2000*1800*600, 4 полки","
Под заказ
",Металлическая мебель (Стеллажи),4,2000.0,1800.0,600.0
"Стеллаж грузовой 2000*1800*600, 4 полки","
Под заказ
",Металлическая мебель (Стеллажи),4,2000.0,1800.0,600.0
"Стеллаж грузовой 2500*1500*600, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),4,2500.0,1500.0,600.0
"Дополнительная секция грузового стеллажа 3000*1500*800, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),4,3000.0,1500.0,800.0
"Стеллаж грузовой 3000*1500*800, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),4,3000.0,1500.0,800.0
"Паллетный стеллаж, 2000*1050*5400 мм","
Под заказ
",Металлическая мебель (Стеллажи),4,2000.0,5400.0,1050.0
"Паллетный стеллаж, 2000*1050*2700 мм","
Под заказ
",Металлическая мебель (Стеллажи),4,2000.0,2700.0,1050.0
СТЕЛЛАЖ ES 75KD/75X30/3,"
 1 836 руб.
",Металлическая мебель (Стеллажи),4,753.0,750.0,300.0
СТЕЛЛАЖ ES 150KD/75Х30/4,"
 3 060 руб.
",Металлическая мебель (Стеллажи),4,1453.0,750.0,300.0
СТЕЛЛАЖ MS U 200/70X30/3 (НАГРУЗКА НА ПОЛКУ 200),"
 8 782 руб.
",Металлическая мебель (Стеллажи),4,2000.0,700.0,300.0
СТЕЛЛАЖ MS U 200/100X40/3 (НАГРУЗКА НА ПОЛКУ 300),"
 11 485 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1000.0,400.0
СТЕЛЛАЖ MS U 250/100X50/4 (НАГРУЗКА НА ПОЛКУ 400),"
 18 544 руб.
",Металлическая мебель (Стеллажи),4,2500.0,1000.0,500.0
СТЕЛЛАЖ MS U 250/120X60/4 (НАГРУЗКА НА ПОЛКУ 350),"
 21 277 руб.
",Металлическая мебель (Стеллажи),4,2500.0,1200.0,600.0
СТЕЛЛАЖ MS U 300/150X100/5 (НАГРУЗКА НА ПОЛКУ 300),"
 40 351 руб.
",Металлическая мебель (Стеллажи),4,3000.0,1500.0,1000.0
СТЕЛЛАЖ MS U 300/150X90/5 (НАГРУЗКА НА ПОЛКУ 250),"
 36 394 руб.
",Металлическая мебель (Стеллажи),4,3000.0,1500.0,900.0
СТЕЛЛАЖ SB 200X152X61/3,"
 15 802 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1525.0,610.0
СТЕЛЛАЖ SB 200X152X51/4,"
 18 034 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1525.0,508.0
СТЕЛЛАЖ SB 200X183X51/4,"
 23 215 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1830.0,508.0
СТЕЛЛАЖ SB 300X152X76/5,"
 29 106 руб.
",Металлическая мебель (Стеллажи),4,3000.0,1525.0,760.0
СТЕЛЛАЖ SB 300X183X61/6,"
 36 520 руб.
",Металлическая мебель (Стеллажи),4,3000.0,1830.0,610.0
СТЕЛЛАЖ SBL 180KD/75X35/5,"
 6 314 руб.
",Металлическая мебель (Стеллажи),4,1803.0,750.0,350.0
СТЕЛЛАЖ SBL 180KD/90X40/5,"
 6 865 руб.
",Металлическая мебель (Стеллажи),4,1803.0,900.0,400.0
СТЕЛЛАЖ SBL 180KD/90X45/5,"
 7 538 руб.
",Металлическая мебель (Стеллажи),4,1803.0,900.0,450.0
Стеллаж Скандинавия 14 (белый),"
 4 200 руб.
",Металлическая мебель (Стеллажи),4,1470.0,4500.0,385.0
Стеллаж Скандинавия 14 (черный),"
 4 200 руб.
",Металлическая мебель (Стеллажи),4,1470.0,4500.0,385.0
Стеллаж Скандинавия 24 (белый),"
 4 720 руб.
",Металлическая мебель (Стеллажи),4,1470.0,6500.0,385.0
Стеллаж Скандинавия 24 (черный),"
 4 720 руб.
",Металлическая мебель (Стеллажи),4,1470.0,6500.0,385.0
Стеллаж Валенсия 14 (черный),"
 2 750 руб.
",Металлическая мебель (Стеллажи),4,1205.0,455.0,300.0
Стеллаж Валенсия 13 (черный),"
 2 280 руб.
",Металлическая мебель (Стеллажи),4,855.0,455.0,300.0
Лоток складской пластиковый 12.401,"
 120 руб.
",Металлическая мебель (Стеллажи),4,75.0,100.0,
