title,size,price
"

                                    Верстак Expert (№606) WTH160.F2/F2.000                                 


Высота, мм
870


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">870</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",38 354 руб.
"

                                    Ящик пластиковый Практик 400x185x100                                 


Высота, мм
100


Ширина, мм
185


Глубина, мм
400



","[<td class=""bxr-props-table-value"">100</td>, <td class=""bxr-props-table-value"">185</td>, <td class=""bxr-props-table-value"">400</td>]",488 руб.
"

                                    Верстак Expert (№206) W120.WS6/WS1.021                                 


Высота, мм
1870


Ширина, мм
1200


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1870</td>, <td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">700</td>]",104 873 руб.
"

                                    Экран WS-180 без косынок                                 


Высота, мм
500


Ширина, мм
1800


Глубина, мм
20



","[<td class=""bxr-props-table-value"">500</td>, <td class=""bxr-props-table-value"">1800</td>, <td class=""bxr-props-table-value"">20</td>]",3 518 руб.
"

                                    Ящик AMH TC 60                                 


Высота, мм
60


Ширина, мм
840


Глубина, мм
400



","[<td class=""bxr-props-table-value"">60</td>, <td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">400</td>]",5 656 руб.
"

                                    Инструментальный шкаф AMH TC EL                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",63 088 руб.
"

                                    Инструментальная тележка WDS-9.0 new                                 


Высота, мм
905


Ширина, мм
860


Глубина, мм
540



","[<td class=""bxr-props-table-value"">905</td>, <td class=""bxr-props-table-value"">860</td>, <td class=""bxr-props-table-value"">540</td>]",60 099 руб.
"

                                    Ящик пластиковый Практик 170x80x105                                 


Высота, мм
80


Ширина, мм
105


Глубина, мм
170



","[<td class=""bxr-props-table-value"">80</td>, <td class=""bxr-props-table-value"">105</td>, <td class=""bxr-props-table-value"">170</td>]",171 руб.
"

                                    Комплект ШС 1940 (4 полки/стойка/перекладина)                                 


Высота, мм
940


Ширина, мм
410


Глубина, мм
40



","[<td class=""bxr-props-table-value"">940</td>, <td class=""bxr-props-table-value"">410</td>, <td class=""bxr-props-table-value"">40</td>]",5 330 руб.
"

                                    Стул Pro Industrial с подлокотниками                                 


Высота, мм
950/1150


Ширина, мм
470


Глубина, мм
-



","[<td class=""bxr-props-table-value"">950/1150</td>, <td class=""bxr-props-table-value"">470</td>, <td class=""bxr-props-table-value"">-</td>]",20 151 руб.
"

                                    Стул Pro Industrial без подлокотников                                 


Высота, мм
910/1190


Ширина, мм
470


Глубина, мм
-



","[<td class=""bxr-props-table-value"">910/1190</td>, <td class=""bxr-props-table-value"">470</td>, <td class=""bxr-props-table-value"">-</td>]",19 191 руб.
"

                                    Шкаф инструментальный ТС 1995-042020                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",42 486 руб.
"

                                    Верстак Expert (№222) W200.F2/F2.011                                 


Высота, мм
1370


Ширина, мм
2000


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1370</td>, <td class=""bxr-props-table-value"">2000</td>, <td class=""bxr-props-table-value"">700</td>]",43 225 руб.
"

                                    Инструментальная тумба WS-6                                 


Высота, мм
840


Ширина, мм
600


Глубина, мм
640



","[<td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">640</td>]",54 673 руб.
"

                                    Полка проволочная ШС 1940/1985                                 


Высота, мм
157


Ширина, мм
400


Глубина, мм
322



","[<td class=""bxr-props-table-value"">157</td>, <td class=""bxr-props-table-value"">400</td>, <td class=""bxr-props-table-value"">322</td>]",1 532 руб.
"

                                    Табурет Pro Industrial                                 


Высота, мм
470/670


Ширина, мм
340


Глубина, мм
-



","[<td class=""bxr-props-table-value"">470/670</td>, <td class=""bxr-props-table-value"">340</td>, <td class=""bxr-props-table-value"">-</td>]",12 004 руб.
"

                                    Инструментальный шкаф HARD 2000-000000                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",64 549 руб.
"

                                    Комплект полок AMH TC SK 40 (2шт.)                                 


Высота, мм
30


Ширина, мм
840


Глубина, мм
170



","[<td class=""bxr-props-table-value"">30</td>, <td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">170</td>]",3 986 руб.
"

                                    Инструментальный шкаф AMH TC-004010                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",83 435 руб.
"

                                    Стойка сушильная Норд 16                                 


Высота, мм
1900


Ширина, мм
960


Глубина, мм
610



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">610</td>]",103 432 руб.
"

                                    Верстак Profi (№601) WT160.WD5/F1.000                                 


Высота, мм
866


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",32 523 руб.
"

                                    Верстак Garage №114                                 


Высота, мм
1420


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1420</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",9 566 руб.
"

                                    Инструментальный шкаф HARD 2000-004011                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",104 743 руб.
"

                                    Верстак Profi (№600) WT160.WD1/F1.000                                 


Высота, мм
866


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",23 582 руб.
"

                                    Полка для тележки HARD SK 40                                 


Высота, мм
20


Ширина, мм
700


Глубина, мм
150



","[<td class=""bxr-props-table-value"">20</td>, <td class=""bxr-props-table-value"">700</td>, <td class=""bxr-props-table-value"">150</td>]",1 745 руб.
"

                                    Комплект поддонов ШС Циклон 1965                                 


Высота, мм
390


Ширина, мм
430


Глубина, мм
25



","[<td class=""bxr-props-table-value"">390</td>, <td class=""bxr-props-table-value"">430</td>, <td class=""bxr-props-table-value"">25</td>]",1 390 руб.
"

                                    Верстак Profi (№ 202) WT120.WD5/F1.000                                 


Высота, мм
866


Ширина, мм
1200


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">700</td>]",29 383 руб.
"

                                    Верстак Garage №115                                 


Высота, мм
1980


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1980</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",16 528 руб.
"

                                    Верстак Garage Set 1                                 


Высота, мм
1500


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1500</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",12 559 руб.
"

                                    Инструментальная тележка WDS-7                                 


Высота, мм
738


Ширина, мм
750


Глубина, мм
453



","[<td class=""bxr-props-table-value"">738</td>, <td class=""bxr-props-table-value"">750</td>, <td class=""bxr-props-table-value"">453</td>]",35 841 руб.
"

                                    Инструментальный шкаф HARD  2000-004001                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",94 412 руб.
"

                                    Инструментальный шкаф HARD 1000-021020                                 


Высота, мм
998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",70 454 руб.
"

                                    Верстак Expert (№224) WTH200.WS1/WS1.021                                 


Высота, мм
1870


Ширина, мм
2000


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1870</td>, <td class=""bxr-props-table-value"">2000</td>, <td class=""bxr-props-table-value"">700</td>]",108 826 руб.
"

                                    Верстак Expert (№607) W160.F2/F2.021                                 


Высота, мм
1870


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1870</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",38 300 руб.
"

                                    Верстак Expert (№205) W120.WS6/F2.011                                 


Высота, мм
1370


Ширина, мм
1200


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1370</td>, <td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">700</td>]",82 982 руб.
"

                                    Полка MS Standart 100x50                                 


Высота, мм
30


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">30</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",560 руб.
"

                                    Комплект косынок для крепления экранов WS                                 


Высота, мм
505


Ширина, мм
210


Глубина, мм
45



","[<td class=""bxr-props-table-value"">505</td>, <td class=""bxr-props-table-value"">210</td>, <td class=""bxr-props-table-value"">45</td>]",835 руб.
"

                                    Верстак Garage Set 2                                 


Высота, мм
1500


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1500</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",12 559 руб.
"

                                    Инструментальная тележка WDS-6                                 


Высота, мм
738


Ширина, мм
750


Глубина, мм
453



","[<td class=""bxr-props-table-value"">738</td>, <td class=""bxr-props-table-value"">750</td>, <td class=""bxr-props-table-value"">453</td>]",33 651 руб.
"

                                    Шкаф инструментальный TC-1995/2- 022050                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",58 317 руб.
"

                                    Полка сетчатая ШС Циклон 1965                                 


Высота, мм
20


Ширина, мм
303


Глубина, мм
534



","[<td class=""bxr-props-table-value"">20</td>, <td class=""bxr-props-table-value"">303</td>, <td class=""bxr-props-table-value"">534</td>]",1 006 руб.
"

                                    Верстак MASTER (№103) MT100.MF1/MF1.100                                 


Высота, мм
875


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">875</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",13 022 руб.
"

                                    Ящик AMH TC 125                                 


Высота, мм
125


Ширина, мм
840


Глубина, мм
400



","[<td class=""bxr-props-table-value"">125</td>, <td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">400</td>]",6 073 руб.
"

                                    Инструментальный стенд                                 


Высота, мм
2010


Ширина, мм
1040


Глубина, мм
510



","[<td class=""bxr-props-table-value"">2010</td>, <td class=""bxr-props-table-value"">1040</td>, <td class=""bxr-props-table-value"">510</td>]",18 615 руб.
"

                                    Шкаф инструментальный TC-1995/2-102215                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",56 238 руб.
"

                                    Инструментальный шкаф HARD 2000-062011                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",103 324 руб.
"

                                    Инструментальный шкаф AMH TC-062030                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",98 148 руб.
"

                                    Инструментальный шкаф HARD 1000-021000                                 


Высота, мм
998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",66 260 руб.
"

                                    Инструментальный шкаф AMH TC-004000 ЧПУ                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",79 032 руб.
"

                                    Инструментальный шкаф HARD 1000-020000                                 


Высота, мм
998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",53 154 руб.
"

                                    Полка сетчатая ШС Циклон 1985                                 


Высота, мм
20


Ширина, мм
403


Глубина, мм
534



","[<td class=""bxr-props-table-value"">20</td>, <td class=""bxr-props-table-value"">403</td>, <td class=""bxr-props-table-value"">534</td>]",1 106 руб.
"

                                    Инструментальный шкаф AMH TC-004000 EL                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",77 363 руб.
"

                                    Верстак Expert (№225) WTS 200.F2/F2/F2.210                                 


Высота, мм
1370


Ширина, мм
2000


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1370</td>, <td class=""bxr-props-table-value"">2000</td>, <td class=""bxr-props-table-value"">700</td>]",62 846 руб.
"

                                    Верстак Profi (№400) WT140.WD1/F1.000                                 


Высота, мм
866


Ширина, мм
1400


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1400</td>, <td class=""bxr-props-table-value"">700</td>]",22 823 руб.
"

                                    Инструментальный шкаф AMH TC-005020                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",93 077 руб.
"

                                    Инструментальный шкаф AMH TC-004000                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",77 363 руб.
"

                                    Инструментальный шкаф HARD 1000-002030                                 


Высота, мм
998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",88 235 руб.
"

                                    Шкаф инструментальный ТС 1995-023000                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",31 630 руб.
"

                                    Шкаф сушильный ШС Циклон 1985                                 


Высота, мм
1950*/2000


Ширина, мм
850


Глубина, мм
600       (*высота без фланца)



","[<td class=""bxr-props-table-value"">1950*/2000</td>, <td class=""bxr-props-table-value"">850</td>, <td class=""bxr-props-table-value"">600       (*высота без фланца)</td>]",58 229 руб.
"

                                    Блок электророзеток                                 


Высота, мм
100


Ширина, мм
260


Глубина, мм
60



","[<td class=""bxr-props-table-value"">100</td>, <td class=""bxr-props-table-value"">260</td>, <td class=""bxr-props-table-value"">60</td>]",4 203 руб.
"

                                    Модульный драйвер для хранения инструмента                                 


Высота, мм
1470


Ширина, мм
750


Глубина, мм
453



","[<td class=""bxr-props-table-value"">1470</td>, <td class=""bxr-props-table-value"">750</td>, <td class=""bxr-props-table-value"">453</td>]",
"

                                    Комплект перегородок WDS                                 


Высота, мм
71.5


Ширина, мм
650


Глубина, мм
375



","[<td class=""bxr-props-table-value"">71.5</td>, <td class=""bxr-props-table-value"">650</td>, <td class=""bxr-props-table-value"">375</td>]",2 170 руб.
"

                                    Шкаф инструментальный ТС 1095-021010                                 


Высота, мм
1000


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",25 832 руб.
"

                                    Шкаф инструментальный TC-1995/2-1220110                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",74 816 руб.
"

                                    Шкаф сушильный ШС Ветерок 1940 (без полок)                                 


Высота, мм
1950*/2000


Ширина, мм
850


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1950*/2000</td>, <td class=""bxr-props-table-value"">850</td>, <td class=""bxr-props-table-value"">500</td>]",46 768 руб.
"

                                    Шкаф Profi WD                                 


Высота, мм
600


Ширина, мм
460


Глубина, мм
211



","[<td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">460</td>, <td class=""bxr-props-table-value"">211</td>]",5 397 руб.
"

                                    Держатель для полотенец                                 


Высота, мм
92


Ширина, мм
360


Глубина, мм
126



","[<td class=""bxr-props-table-value"">92</td>, <td class=""bxr-props-table-value"">360</td>, <td class=""bxr-props-table-value"">126</td>]",585 руб.
"

                                    Полка малая SSh                                 


Высота, мм
70


Ширина, мм
327


Глубина, мм
151



","[<td class=""bxr-props-table-value"">70</td>, <td class=""bxr-props-table-value"">327</td>, <td class=""bxr-props-table-value"">151</td>]",384 руб.
"

                                    Комплект WS-6                                 


Высота, мм
1700


Ширина, мм
665


Глубина, мм
640



","[<td class=""bxr-props-table-value"">1700</td>, <td class=""bxr-props-table-value"">665</td>, <td class=""bxr-props-table-value"">640</td>]",73 601 руб.
"

                                    Шкаф инструментальный TC-1947-000202ГК                                 


Высота, мм
1900


Ширина, мм
475


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">475</td>, <td class=""bxr-props-table-value"">500</td>]",24 246 руб.
